dialogue_id,scenario_id,scenario_type,speaker,interlocutor,utterance
1,1,light accident,Agent,PSAP 2,Communication between 2nd Agent and the PSAP
1,1,light accident,Agent,PSAP 2,2nd Agent
1,1,light accident,Other Party,PSAP 2,PSAP
1,1,light accident,Other Party,PSAP 2,"Fire Brigade Dispatching Center Berlin, how can I help you?"
1,1,light accident,Agent,PSAP 2,"Hello, this is XXX from the Bosch Emergency Center, we have received an automatic emergency call from a BMW that had an accident. Can I provide you with the position?"
1,1,light accident,Other Party,PSAP 2,"Yes sure, where did it happen?"
1,1,light accident,Agent,PSAP 2,"I can see in my system, that it is on the Federal Highway B1 – Königstraße in 14109 Berlin- Steglitz-Zehlendorf."
1,1,light accident,Other Party,PSAP 2,Where exactly on the B1?
1,1,light accident,Agent,PSAP 2,"It is next to the Golf- and Land-Club Berlin-Wannsee. I can give you the exact geographic coordinates, if you wish!"
1,1,light accident,Other Party,PSAP 2,No need for the coordinates! This is clear enough!
1,1,light accident,Other Party,PSAP 2,"So, what happened?"
1,1,light accident,Agent,PSAP 2,"According to the data we received from the sensors of the BMW, it was a light rear collision and there must be 2 adults and a child in the vehicle. I can also see that multiple airbags were deployed."
1,1,light accident,Agent,PSAP 2,My colleague who has the voice connection with the driver is gathering more information right now.
1,1,light accident,Other Party,PSAP 2,Do you know if anyone is injured?
1,1,light accident,Agent,PSAP 2,"I now received the information, that no one is injured in the BMW we received the emergency call from."
1,1,light accident,Other Party,PSAP 2,And in the other cars? And how many cars are involved?
1,1,light accident,Agent,PSAP 2,According to the BMW driver he had a rear collision with another car. No further vehicles are involved.
1,1,light accident,Agent,PSAP 2,There are no injured persons in the other car as well.
1,1,light accident,Agent,PSAP 2,"There is a 5 year old child in the BMW, but no one is injured like I said."
1,1,light accident,Agent,PSAP 2,No one is trapped in.
1,1,light accident,Agent,PSAP 2,They are seeing white smoke which should be from the airbags. And no liquids dropping off the vehicle.
1,1,light accident,Agent,PSAP 2,The two vehicles are blocking the middle and right lanes.
1,1,light accident,Other Party,PSAP 2,Do you know the name and the phone number of the driver?
1,1,light accident,Agent,PSAP 2,"Yes, his name is: XXX and his phone number is: XXX."
1,1,light accident,Other Party,PSAP 2,"And we also need the license plate of his vehicle, if possible!"
1,1,light accident,Agent,PSAP 2,"Just a moment, my colleague is asking for the license plate!"
1,1,light accident,Other Party,PSAP 2,Okay!
1,1,light accident,Agent,PSAP 2,The license plate is: B-XX 1234.
1,1,light accident,Other Party,PSAP 2,Okay thank you for the information! We will dispatch the police and fire brigade! They will be on site in about 8 minutes.
1,1,light accident,Agent,PSAP 2,"Great, thank you so much! Have a calm shift! Goodbye!"
1,1,light accident,Other Party,PSAP 2,Thank you! Goodbye!
1,1,light accident,Agent,PSAP 2,2nd Agent informs 1st agent via chat about what services are being dispatched and about the ETA
1,1,light accident,Agent,PSAP 2,END
2,2,objects on the road,Agent,the customer 2,Communication between 1st Agent and customer
2,2,objects on the road,Agent,the customer 2,1st Agent
2,2,objects on the road,Other Party,the customer 2,Customer
2,2,objects on the road,Agent,the customer 2,We have received an emergency call! What happened?
2,2,objects on the road,Other Party,the customer 2,"Hello, I pushed the SOS button to inform you about wooden objects on the roadway I saw about 1 kilometer before my current position!"
2,2,objects on the road,Other Party,the customer 2,"I am now in hmmmmm! Just a moment, I need to check where!"
2,2,objects on the road,Agent,the customer 2,"Don’t worry, Sir! We can see your exact position. You are on the highway A1 between Ladbergen and Greven in the direction: North to South, right?"
2,2,objects on the road,Other Party,the customer 2,"Yes, that’s correct!"
2,2,objects on the road,Agent,the customer 2,Did you recognize on which lane the wooden objects are?
2,2,objects on the road,Other Party,the customer 2,They are on the right lane and partly on the side strip I guess.
2,2,objects on the road,Agent,the customer 2,"Okay Sir, my name is XXX, I will now inform the police about the objects. Could you please provide me with your name and phone number in case the police has any additional questions?"
2,2,objects on the road,Other Party,the customer 2,"Yeah, sure!"
2,2,objects on the road,Other Party,the customer 2,My name is: XXX und my phone number is: XXX
2,2,objects on the road,Agent,the customer 2,"Thank you, Sir! I will call them now. Do you need me to confirm to you after I inform them? Or could I end the emergency call now?"
2,2,objects on the road,Other Party,the customer 2,"No, thank you, no need for an additional confirmation! You can end the call!"
2,2,objects on the road,Agent,the customer 2,"Okay, Sir! Thank you for reporting that! I will end the emergency call now! If you need any further support push the SOS button in your roof module any time again!"
