scenario,speaker,utterance
Scenario 1 - light accident - communication with PSAP 2,Agent,Communication between 2nd Agent and the PSAP
Scenario 1 - light accident - communication with PSAP 2,Agent,2nd Agent
Scenario 1 - light accident - communication with PSAP 2,Other Party,PSAP
Scenario 1 - light accident - communication with PSAP 2,Other Party,"Fire Brigade Dispatching Center Berlin, how can I help you?"
Scenario 1 - light accident - communication with PSAP 2,Agent,"Hello, this is XXX from the Bosch Emergency Center, we have received an automatic emergency call from a BMW that had an accident. Can I provide you with the position?"
Scenario 1 - light accident - communication with PSAP 2,Other Party,"Yes sure, where did it happen?"
Scenario 1 - light accident - communication with PSAP 2,Agent,"I can see in my system, that it is on the Federal Highway B1 – Königstraße in 14109 Berlin- Steglitz-Zehlendorf."
Scenario 1 - light accident - communication with PSAP 2,Other Party,Where exactly on the B1?
Scenario 1 - light accident - communication with PSAP 2,Agent,"It is next to the Golf- and Land-Club Berlin-Wannsee. I can give you the exact geographic coordinates, if you wish!"
Scenario 1 - light accident - communication with PSAP 2,Other Party,No need for the coordinates! This is clear enough!
Scenario 1 - light accident - communication with PSAP 2,Other Party,"So, what happened?"
Scenario 1 - light accident - communication with PSAP 2,Agent,"According to the data we received from the sensors of the BMW, it was a light rear collision and there must be 2 adults and a child in the vehicle. I can also see that multiple airbags were deployed."
Scenario 1 - light accident - communication with PSAP 2,Agent,My colleague who has the voice connection with the driver is gathering more information right now.
Scenario 1 - light accident - communication with PSAP 2,Other Party,Do you know if anyone is injured?
Scenario 1 - light accident - communication with PSAP 2,Agent,"I now received the information, that no one is injured in the BMW we received the emergency call from."
Scenario 1 - light accident - communication with PSAP 2,Other Party,And in the other cars? And how many cars are involved?
Scenario 1 - light accident - communication with PSAP 2,Agent,According to the BMW driver he had a rear collision with another car. No further vehicles are involved.
Scenario 1 - light accident - communication with PSAP 2,Agent,There are no injured persons in the other car as well.
Scenario 1 - light accident - communication with PSAP 2,Agent,"There is a 5 year old child in the BMW, but no one is injured like I said."
Scenario 1 - light accident - communication with PSAP 2,Agent,No one is trapped in.
Scenario 1 - light accident - communication with PSAP 2,Agent,They are seeing white smoke which should be from the airbags. And no liquids dropping off the vehicle.
Scenario 1 - light accident - communication with PSAP 2,Agent,The two vehicles are blocking the middle and right lanes.
Scenario 1 - light accident - communication with PSAP 2,Other Party,Do you know the name and the phone number of the driver?
Scenario 1 - light accident - communication with PSAP 2,Agent,"Yes, his name is: XXX and his phone number is: XXX."
Scenario 1 - light accident - communication with PSAP 2,Other Party,"And we also need the license plate of his vehicle, if possible!"
Scenario 1 - light accident - communication with PSAP 2,Agent,"Just a moment, my colleague is asking for the license plate!"
Scenario 1 - light accident - communication with PSAP 2,Other Party,Okay!
Scenario 1 - light accident - communication with PSAP 2,Agent,The license plate is: B-XX 1234.
Scenario 1 - light accident - communication with PSAP 2,Other Party,Okay thank you for the information! We will dispatch the police and fire brigade! They will be on site in about 8 minutes.
Scenario 1 - light accident - communication with PSAP 2,Agent,"Great, thank you so much! Have a calm shift! Goodbye!"
Scenario 1 - light accident - communication with PSAP 2,Other Party,Thank you! Goodbye!
